timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618578044788,340,HTTP Request multiply,200,OK,soaprequest 1-5,text,true,,606,447,10,11,http://www.dneonline.com/calculator.asmx,340,0,0
1618578044799,329,HTTP Request multiply,200,OK,soaprequest 1-1,text,true,,606,447,10,11,http://www.dneonline.com/calculator.asmx,329,0,0
1618578044802,330,HTTP Request multiply,200,OK,soaprequest 1-7,text,true,,606,447,10,11,http://www.dneonline.com/calculator.asmx,330,0,0
1618578044802,330,HTTP Request multiply,200,OK,soaprequest 1-8,text,true,,606,447,10,11,http://www.dneonline.com/calculator.asmx,330,0,0
1618578044799,335,HTTP Request multiply,200,OK,soaprequest 1-2,text,true,,606,447,10,11,http://www.dneonline.com/calculator.asmx,335,0,0
1618578044803,341,HTTP Request multiply,200,OK,soaprequest 1-4,text,true,,606,447,10,11,http://www.dneonline.com/calculator.asmx,341,0,0
1618578044805,343,HTTP Request multiply,200,OK,soaprequest 1-6,text,true,,606,447,10,11,http://www.dneonline.com/calculator.asmx,343,0,0
1618578044805,345,HTTP Request multiply,200,OK,soaprequest 1-3,text,true,,606,447,10,11,http://www.dneonline.com/calculator.asmx,345,0,0
1618578044810,365,HTTP Request multiply,200,OK,soaprequest 1-9,text,true,,606,447,10,11,http://www.dneonline.com/calculator.asmx,365,0,0
1618578045127,324,HTTP Request divide,200,OK,soaprequest 1-10,text,true,,597,442,10,11,http://www.dneonline.com/calculator.asmx,324,0,0
1618578045131,327,HTTP Request divide,200,OK,soaprequest 1-5,text,true,,597,442,9,10,http://www.dneonline.com/calculator.asmx,327,0,0
1618578045131,330,HTTP Request divide,200,OK,soaprequest 1-1,text,true,,597,442,8,9,http://www.dneonline.com/calculator.asmx,330,0,0
1618578045134,338,HTTP Request divide,200,OK,soaprequest 1-7,text,true,,597,442,7,8,http://www.dneonline.com/calculator.asmx,338,0,0
1618578045134,347,HTTP Request divide,200,OK,soaprequest 1-8,text,true,,597,442,6,7,http://www.dneonline.com/calculator.asmx,347,0,0
1618578045136,357,HTTP Request divide,200,OK,soaprequest 1-2,text,true,,597,442,5,6,http://www.dneonline.com/calculator.asmx,357,0,0
1618578045146,357,HTTP Request divide,200,OK,soaprequest 1-4,text,true,,597,442,4,5,http://www.dneonline.com/calculator.asmx,357,0,0
1618578045149,361,HTTP Request divide,200,OK,soaprequest 1-6,text,true,,597,442,3,4,http://www.dneonline.com/calculator.asmx,361,0,0
1618578045152,374,HTTP Request divide,200,OK,soaprequest 1-3,text,true,,597,442,2,3,http://www.dneonline.com/calculator.asmx,374,0,0
1618578045176,355,HTTP Request divide,200,OK,soaprequest 1-9,text,true,,597,442,1,2,http://www.dneonline.com/calculator.asmx,355,0,0
1618578040996,5255,post,200,OK,assignment2 2-1,text,true,,389,350,1,1,https://petstore.swagger.io/v2/user,5242,0,4949
1618578046367,279,get,200,OK,assignment2 2-1,text,true,,463,165,1,1,https://petstore.swagger.io/v2/user/a,279,0,0
